Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Education & Training,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,90.00,677.00,1000.00,1000.00,1406.00,1149.00,1183.00,1000.00,600.00,845.00,830.00,875.00,925.00,4153.00,4453.00,5525.00,6500.00,6700.00,6888.98,5639.99,8100.00,90.00,75.00,410.00,95.00,1406.00,1149.00,1183.00,770.00,600.00,845.00,269.00,875.00,925.00,4153.00,4365.00,4357.00,5304.00,4596.00,6056.80,5639.99
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Transportation Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2014.00,2000.00,2000.00,2000.00,2000.00,2000.00,2100.00,2000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,1800.00,700.00,1200.00,1200.00,1600.00,2100.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Office Rent,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2200.00,2400.00,1200.00,1300.00,1200.00,1300.00,1200.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2200.00,2400.00,1100.00,1300.00,1100.00,1300.00,1200.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Coroner's Jurors Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,630.00,1200.00,1200.00,843.00,581.00,1107.00,730.00,1500.00,1199.00,990.00,807.00,830.00,665.00,158.00,281.00,150.00,418.00,500.00,500.00,78.05,400.00,630.00,417.00,602.00,790.00,581.00,577.00,630.00,360.00,1199.00,900.00,807.00,830.00,665.00,158.00,281.00,138.00,135.00,0.00,124.78,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,4,Burial of Soldiers,Burial of Soldiers,Miscellaneous,,"This line item helped cover the costs associated to the County regarding the burial of soldiers. Beginning in 2008, those expenses where covered in the County Adminstration line item.",County Board Office,0.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,1000.00,955.00,100.00,1827.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1827.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Salaries & Benefits,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,58974.00,60048.00,71008.00,72531.00,73880.00,63201.00,75406.00,77408.00,110538.00,134718.00,133199.00,129454.00,129501.00,131849.00,83200.00,86300.00,86450.00,83802.00,64948.89,57916.51,58840.00,57755.00,57380.00,65155.00,70823.00,73813.00,60933.00,73038.00,77408.00,110538.00,128488.00,133200.00,129452.00,129501.00,131849.00,82700.00,86270.00,86450.00,80950.00,61822.50,57627.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Office Supplies,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,1150.00,750.00,1282.00,856.00,1052.00,2100.00,2450.00,3676.00,2350.00,1707.00,1182.00,1460.00,1852.00,526.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1045.00,605.00,1124.00,620.00,1052.00,1682.00,2302.00,3665.00,1595.00,1689.00,1160.00,1460.00,1733.00,526.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Postage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,400.00,704.00,800.00,904.00,435.00,1200.00,750.00,776.00,1000.00,1293.00,660.00,922.00,1300.00,830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,372.00,704.00,800.00,533.00,435.00,792.00,750.00,776.00,845.00,1293.00,660.00,922.00,1195.00,741.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Committee Meetings & Mileage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35300.00,26275.00,27935.00,28735.00,22706.11,24283.49,25000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28456.00,25546.00,27270.00,28735.00,22706.11,24283.49
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Travel,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,10450.00,10196.00,9950.00,10090.00,13310.00,11942.00,11642.00,10653.00,10942.00,10742.00,10800.00,10224.00,10797.00,11703.00,0.00,0.00,0.00,39.00,0.00,0.00,0.00,10255.00,9044.00,7543.00,7334.00,12128.00,9163.00,8275.00,10653.00,10514.00,9543.00,10801.00,10224.00,10797.00,11703.00,0.00,0.00,0.00,39.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Printing,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,260.00,460.00,278.00,1720.00,1111.00,365.00,765.00,1054.00,900.00,1100.00,876.00,1032.00,1039.00,503.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,258.00,435.00,277.00,1720.00,1111.00,299.00,574.00,1054.00,695.00,1033.00,804.00,1032.00,938.00,503.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Prescription Discounts,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1500.00,1500.00,185.00,27.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1003.00,312.00,150.00,27.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Equipment Repair,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3878.00,2500.00,552.00,323.00,1200.00,2071.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2972.00,2047.00,532.00,323.00,1076.00,2071.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Miscellaneous,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,370.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Telephone,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,1350.00,1350.00,1650.00,1331.00,1350.00,1650.00,2150.00,1053.00,2889.00,2150.00,2173.00,2158.00,2300.00,1558.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1285.00,1256.00,1357.00,1185.00,1097.00,1194.00,1511.00,1053.00,2744.00,1935.00,2173.00,2158.00,2148.00,1549.00,0.00,0.00,0.00,0.00,0.00,0.00
