Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Telephone,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,1132,1323,1500,1500,1803,2271,1965,2132,2402,2864,3268,2206,2248,2396,2515,1600,1875,1800,1939,1664,1750,1664,1801,0,0,0,0,75,0,0,0,1132,1323,1187,1347,1803,2271,1947,2132,2313,2864,825,2206,2248,2396,2443,1460,1875,1346,1939,1664,1698,1664,1527,0,0,0,0,75,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Insurance,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,50,170,50,150,50,172,50,0,0,269,0,15,0,269,100,5,10,10,0,10,0,10,10,10,10,10,10,10,0,10,0,0,170,0,151,0,172,0,0,0,3269,0,0,0,269,2,2,0,10,0,0,0,2,0,0,0,2,0,0,0,2
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Education & Training,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,90,677,1000,1000,1406,1149,1183,1000,600,845,830,875,925,4153,4453,5525,6500,6700,6889,5640,50,6477,7168,7300,7100,7300,7500,7500,7500,5501,7000,90,75,410,95,1406,1149,1183,770,600,845,269,875,925,4153,4365,4357,5304,4596,6889,5640,50,6477,7168,3968,7300,6527,4607,4991,5855,5501,5118
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Transportation Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,2014,2000,2000,2000,2000,2000,2100,1500,1700,2300,2000,2000,2000,2000,2100,2300,2700,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,1800,700,1200,1200,2000,2100,1500,1700,2300,1400,2000,1900,1200,2100,2300,2700,3100
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Office Rent,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1200,1300,1200,1300,1200,1200,1200,1200,2200,2400,2400,2200,2400,2400,2630,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,2400,1100,1300,1100,1300,1200,1200,1200,1200,1971,2400,2073,2078,2294,2184,2630,2196
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,3,Coroner's Expenses,Coroner's Expenses,Coroner's Jurors Fees,http://macoupincountyil.gov/coroner.htm,"The line item funds the operation of the Coroner's office. The Macoupin County Coroner serves as the investigative arm of Macoupin County government concerning deaths of an unexpected, violent or criminal nature.",Coroner,630,1200,1200,843,581,1107,730,1500,1199,990,807,830,665,158,281,150,418,500,500,78,28,0,300,0,0,0,0,0,0,0,0,630,417,602,790,581,577,630,360,1199,900,807,830,665,158,281,138,135,0,500,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,4,Burial of Soldiers,Burial of Soldiers,Miscellaneous,,"This line item helped cover the costs associated to the County regarding the burial of soldiers. Beginning in 2008, those expenses where covered in the County Adminstration line item.",County Board Office,0,1000,1000,1000,1000,1000,1000,1000,955,100,1827,100,100,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,600,0,0,0,0,0,0,0,0,0,0,1827,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,600
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Salaries & Benefits,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,58974,60048,71008,72531,73880,63201,75406,77408,110538,134718,133199,129454,129501,131849,83200,86300,86450,83802,64949,57917,58836,54388,55053,52212,55528,56003,53628,65939,75411,52440,61127,57755,57380,65155,70823,73813,60933,73038,77408,110538,128488,133200,129452,129501,131849,82700,86270,86450,80950,61823,57627,57941,53390,55053,51253,56003,56003,53628,63658,75411,51490,52678
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Office Supplies,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,1150,750,1282,856,1052,2100,2450,3676,2350,1707,1182,1460,1852,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1045,605,1124,620,1052,1682,2302,3665,1595,1689,1160,1460,1733,526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Postage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,400,704,800,904,435,1200,750,776,1000,1293,660,922,1300,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,372,704,800,533,435,792,750,776,845,1293,660,922,1195,741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Committee Meetings & Mileage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35300,26275,27935,28735,22706,24283,28792,24812,28788,34788,36318,34689,38212,25901,16429,39400,30713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28456,25546,27270,28735,22706,24284,28792,24812,28748,30537,34689,24080,31550,18357,11455,28621,30713
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Travel,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,10450,10196,9950,10090,13310,11942,11642,10653,10942,10742,10800,10224,10797,11703,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,10255,9044,7543,7334,12128,9163,8275,10653,10514,9543,10801,10224,10797,11703,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Printing,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,260,460,278,1720,1111,365,765,1054,900,1100,876,1032,1039,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,435,277,1720,1111,299,574,1054,695,1033,804,1032,938,503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Prescription Discounts,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,1500,1500,185,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,312,150,27,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,5,County Board,County Board,Equipment Repair,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board, which includes costs of per diem for full board meetings, committee meetings, and cost of mileage.",County Board Office,0,0,0,0,0,0,0,0,3878,2500,552,323,1200,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2972,2047,532,323,1076,2071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
